ID,Name,Date_of_Birth,Salary,Department,Age
1,John Doe,1985-10-12,50000.0,Finance,38
2,Jane Smith,1983-06-20,62000.0,Marketing,41
3,Emily Jones,1990-04-15,70000.0,Engineering,34
4,Michael Brown,1975-02-20,45000.0,HR,49
5,Sarah Davis,1988-08-25,260625.0,Sales,35
6,Peter Pan,1983-07-21,55000.0,Finance,41
7,Lily Evans,1983-06-20,570187.5,HR,41
8,Tom Riddle,1982-11-30,31000.0,Marketing,41
9,Bruce Wayne,1978-03-10,75000.0,Finance,46
10,Clark Kent,1979-12-01,90000.0,Engineering,44
11,Diana Prince,1984-05-19,260625.0,Sales,40
12,Barry Allen,1983-06-20,570187.5,Engineering,41
13,Arthur Curry,1983-10-10,65000.0,Marketing,40
14,Hal Jordan,1983-06-20,72000.0,HR,41
15,Victor Stone,1989-11-15,45000.0,Marketing,34
16,Lois Lane,1980-08-20,58000.0,Finance,43
17,James Gordon,1975-09-15,52000.0,HR,48
18,Selina Kyle,1985-06-07,260625.0,Sales,39
19,Oliver Queen,1982-09-20,570187.5,Engineering,41
20,Roy Harper,1988-07-10,260625.0,Marketing,36
